,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Akdepe,TM,42.0551,59.3788,50.09,20,0,9.53,clear sky
313,Kastamonu,TR,41.5,33.6667,42.89,90,26,1.7,scattered clouds
314,Beira,MZ,-19.8436,34.8389,71.69,100,75,5.01,mist
315,Bac Lieu,VN,9.285,105.7244,77.0,88,100,8.59,overcast clouds
316,Vanimo,PG,-2.6741,141.3028,85.57,70,92,10.0,overcast clouds
317,Sohag,EG,26.557,31.6948,75.49,52,1,12.97,clear sky
318,Tomatlan,MX,19.9333,-105.25,74.35,95,16,1.5,few clouds
319,Muyezerskiy,RU,63.9333,31.65,45.99,95,100,13.18,moderate rain
320,Cap Malheureux,MU,-19.9842,57.6142,75.47,66,7,11.99,clear sky
321,Half Moon Bay,US,37.4636,-122.4286,68.88,85,100,4.61,fog
322,Oxford,GB,51.7522,-1.256,47.75,86,0,5.75,clear sky
323,Kazachinskoye,RU,57.6953,93.2761,34.38,97,100,8.3,light snow
324,Hambantota,LK,6.1241,81.1185,86.34,70,20,16.11,few clouds
325,Indramayu,ID,-6.3264,108.32,85.64,63,76,7.47,light rain
326,San Policarpo,PH,12.1791,125.5072,83.73,78,37,7.52,scattered clouds
327,Sigli,ID,5.3848,95.9609,83.48,69,92,2.71,overcast clouds
328,Tura,IN,25.5198,90.2201,78.4,89,47,4.7,scattered clouds
329,Luchegorsk,RU,46.4764,134.2569,47.61,33,29,11.63,scattered clouds
330,Hasaki,JP,35.7333,140.8333,55.8,85,100,26.46,light rain
331,Lebu,CL,-37.6167,-73.65,50.43,95,100,12.82,overcast clouds
332,Byron Bay,AU,-28.65,153.6167,61.81,88,100,2.26,overcast clouds
333,Sapa,PH,5.1544,120.3241,84.94,69,93,2.84,overcast clouds
334,Santa Cruz,BO,-17.8,-63.1667,78.26,78,75,13.8,broken clouds
335,Abu Dhabi,AE,24.4667,54.3667,84.96,87,40,9.22,haze
336,Shubarshi,KZ,48.5872,57.1869,52.2,25,100,11.56,overcast clouds
337,Nampula,MZ,-15.1165,39.2666,66.15,77,0,5.99,clear sky
338,Semey,KZ,50.4111,80.2275,52.02,28,0,4.47,clear sky
339,Kindu,CD,-2.95,25.95,68.36,95,100,2.59,overcast clouds
340,Hoquiam,US,46.9809,-123.8893,58.95,95,54,2.55,broken clouds
341,Grants,US,35.1473,-107.8514,50.23,100,100,0.0,drizzle
342,Deputatskiy,RU,69.3,139.9,14.43,88,100,7.76,overcast clouds
343,Neryungri,RU,56.6709,124.6491,29.17,83,100,15.75,light snow
